"variant","date","frequency","frequency_gapfill","frequency_7day","hover_text_variant"
"Alpha, Beta & Gamma",2022-06-19,NA,NA,NA,"Jun 19, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-19,NA,NA,NA,"Jun 19, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-19,0,0,0.004286,"Jun 19, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-19,0,0,0,"Jun 19, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-19,0.3,0.3,0.447143,"Jun 19, 2022<br><b>Omicron BA.2.12.1</b> 30%"
"Omicron BA.2.75",2022-06-19,NA,NA,NA,"Jun 19, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-19,0.16,0.16,0.174286,"Jun 19, 2022<br><b>Omicron BA.4</b> 16%"
"Omicron BA.4 and BA.5",2022-06-19,NA,NA,NA,"Jun 19, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-19,0.53,0.53,0.355714,"Jun 19, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 53%"
"Omicron BQ.1",2022-06-19,NA,NA,NA,"Jun 19, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-19,NA,NA,NA,"Jun 19, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-06-20,NA,NA,NA,"Jun 20, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-20,NA,NA,NA,"Jun 20, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-20,0,0,0.004286,"Jun 20, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-20,0,0,0,"Jun 20, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-20,0.36,0.36,0.432857,"Jun 20, 2022<br><b>Omicron BA.2.12.1</b> 36%"
"Omicron BA.2.75",2022-06-20,NA,NA,NA,"Jun 20, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-20,0.22,0.22,0.184286,"Jun 20, 2022<br><b>Omicron BA.4</b> 22%"
"Omicron BA.4 and BA.5",2022-06-20,NA,NA,NA,"Jun 20, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-20,0.37,0.37,0.364286,"Jun 20, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 37%"
"Omicron BQ.1",2022-06-20,NA,NA,NA,"Jun 20, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-20,NA,NA,NA,"Jun 20, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-06-21,NA,NA,NA,"Jun 21, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-21,NA,NA,NA,"Jun 21, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-21,0,0,0.001429,"Jun 21, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-21,0,0,0,"Jun 21, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-21,0.31,0.31,0.392857,"Jun 21, 2022<br><b>Omicron BA.2.12.1</b> 31%"
"Omicron BA.2.75",2022-06-21,NA,NA,NA,"Jun 21, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-21,0.21,0.21,0.194286,"Jun 21, 2022<br><b>Omicron BA.4</b> 21%"
"Omicron BA.4 and BA.5",2022-06-21,NA,NA,NA,"Jun 21, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-21,0.43,0.43,0.385714,"Jun 21, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 43%"
"Omicron BQ.1",2022-06-21,NA,NA,NA,"Jun 21, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-21,NA,NA,NA,"Jun 21, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-06-22,NA,NA,NA,"Jun 22, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-22,NA,NA,NA,"Jun 22, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-22,0,0,0.001429,"Jun 22, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-22,0,0,0,"Jun 22, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-22,0.38,0.38,0.38,"Jun 22, 2022<br><b>Omicron BA.2.12.1</b> 38%"
"Omicron BA.2.75",2022-06-22,NA,NA,NA,"Jun 22, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-22,0.27,0.27,0.207143,"Jun 22, 2022<br><b>Omicron BA.4</b> 27%"
"Omicron BA.4 and BA.5",2022-06-22,NA,NA,NA,"Jun 22, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-22,0.36,0.36,0.384286,"Jun 22, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 36%"
"Omicron BQ.1",2022-06-22,NA,NA,NA,"Jun 22, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-22,NA,NA,NA,"Jun 22, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-06-23,NA,NA,NA,"Jun 23, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-23,NA,NA,NA,"Jun 23, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-23,0.01,0.01,0.001429,"Jun 23, 2022<br><b>Omicron BA.1</b> 1%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-23,0,0,0,"Jun 23, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-23,0.32,0.32,0.36,"Jun 23, 2022<br><b>Omicron BA.2.12.1</b> 32%"
"Omicron BA.2.75",2022-06-23,NA,NA,NA,"Jun 23, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-23,0.28,0.28,0.218571,"Jun 23, 2022<br><b>Omicron BA.4</b> 28%"
"Omicron BA.4 and BA.5",2022-06-23,NA,NA,NA,"Jun 23, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-23,0.34,0.34,0.388571,"Jun 23, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 34%"
"Omicron BQ.1",2022-06-23,NA,NA,NA,"Jun 23, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-23,NA,NA,NA,"Jun 23, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-06-24,NA,NA,NA,"Jun 24, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-24,NA,NA,NA,"Jun 24, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-24,0.05,0.05,0.008571,"Jun 24, 2022<br><b>Omicron BA.1</b> 5%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-24,0,0,0,"Jun 24, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-24,0.27,0.27,0.334286,"Jun 24, 2022<br><b>Omicron BA.2.12.1</b> 27%"
"Omicron BA.2.75",2022-06-24,NA,NA,NA,"Jun 24, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-24,0.15,0.15,0.217143,"Jun 24, 2022<br><b>Omicron BA.4</b> 15%"
"Omicron BA.4 and BA.5",2022-06-24,NA,NA,NA,"Jun 24, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-24,0.51,0.51,0.41,"Jun 24, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 51%"
"Omicron BQ.1",2022-06-24,NA,NA,NA,"Jun 24, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-24,NA,NA,NA,"Jun 24, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-06-25,NA,NA,NA,"Jun 25, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-25,NA,NA,NA,"Jun 25, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-25,0.01,0.01,0.01,"Jun 25, 2022<br><b>Omicron BA.1</b> 1%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-25,0,0,0,"Jun 25, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-25,0.52,0.52,0.351429,"Jun 25, 2022<br><b>Omicron BA.2.12.1</b> 52%"
"Omicron BA.2.75",2022-06-25,NA,NA,NA,"Jun 25, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-25,0.12,0.12,0.201429,"Jun 25, 2022<br><b>Omicron BA.4</b> 12%"
"Omicron BA.4 and BA.5",2022-06-25,NA,NA,NA,"Jun 25, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-25,0.32,0.32,0.408571,"Jun 25, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 32%"
"Omicron BQ.1",2022-06-25,NA,NA,NA,"Jun 25, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-25,NA,NA,NA,"Jun 25, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-06-26,NA,NA,NA,"Jun 26, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-26,NA,NA,NA,"Jun 26, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-26,0,0,0.01,"Jun 26, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-26,0,0,0,"Jun 26, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-26,0.29,0.29,0.35,"Jun 26, 2022<br><b>Omicron BA.2.12.1</b> 29%"
"Omicron BA.2.75",2022-06-26,NA,NA,NA,"Jun 26, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-26,0.15,0.15,0.2,"Jun 26, 2022<br><b>Omicron BA.4</b> 15%"
"Omicron BA.4 and BA.5",2022-06-26,NA,NA,NA,"Jun 26, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-26,0.55,0.55,0.411429,"Jun 26, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 55%"
"Omicron BQ.1",2022-06-26,NA,NA,NA,"Jun 26, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-26,NA,NA,NA,"Jun 26, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-06-27,NA,NA,NA,"Jun 27, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-27,NA,NA,NA,"Jun 27, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-27,0.01,0.01,0.011429,"Jun 27, 2022<br><b>Omicron BA.1</b> 1%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-27,0,0,0,"Jun 27, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-27,0.3,0.3,0.341429,"Jun 27, 2022<br><b>Omicron BA.2.12.1</b> 30%"
"Omicron BA.2.75",2022-06-27,NA,NA,NA,"Jun 27, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-27,0.17,0.17,0.192857,"Jun 27, 2022<br><b>Omicron BA.4</b> 17%"
"Omicron BA.4 and BA.5",2022-06-27,NA,NA,NA,"Jun 27, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-27,0.51,0.51,0.431429,"Jun 27, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 51%"
"Omicron BQ.1",2022-06-27,NA,NA,NA,"Jun 27, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-27,NA,NA,NA,"Jun 27, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-06-28,NA,NA,NA,"Jun 28, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-28,NA,NA,NA,"Jun 28, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-28,0.01,0.01,0.012857,"Jun 28, 2022<br><b>Omicron BA.1</b> 1%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-28,0,0,0,"Jun 28, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-28,0.28,0.28,0.337143,"Jun 28, 2022<br><b>Omicron BA.2.12.1</b> 28%"
"Omicron BA.2.75",2022-06-28,NA,NA,NA,"Jun 28, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-28,0.2,0.2,0.191429,"Jun 28, 2022<br><b>Omicron BA.4</b> 20%"
"Omicron BA.4 and BA.5",2022-06-28,NA,NA,NA,"Jun 28, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-28,0.55,0.55,0.448571,"Jun 28, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 55%"
"Omicron BQ.1",2022-06-28,NA,NA,NA,"Jun 28, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-28,NA,NA,NA,"Jun 28, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-06-29,NA,NA,NA,"Jun 29, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-29,NA,NA,NA,"Jun 29, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-29,0,0,0.012857,"Jun 29, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-29,0,0,0,"Jun 29, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-29,0.2,0.2,0.311429,"Jun 29, 2022<br><b>Omicron BA.2.12.1</b> 20%"
"Omicron BA.2.75",2022-06-29,NA,NA,NA,"Jun 29, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-29,0.21,0.21,0.182857,"Jun 29, 2022<br><b>Omicron BA.4</b> 21%"
"Omicron BA.4 and BA.5",2022-06-29,NA,NA,NA,"Jun 29, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-29,0.6,0.6,0.482857,"Jun 29, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 60%"
"Omicron BQ.1",2022-06-29,NA,NA,NA,"Jun 29, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-29,NA,NA,NA,"Jun 29, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-06-30,NA,NA,NA,"Jun 30, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-30,NA,NA,NA,"Jun 30, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-30,0.01,0.01,0.012857,"Jun 30, 2022<br><b>Omicron BA.1</b> 1%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-30,0,0,0,"Jun 30, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-30,0.2,0.2,0.294286,"Jun 30, 2022<br><b>Omicron BA.2.12.1</b> 20%"
"Omicron BA.2.75",2022-06-30,NA,NA,NA,"Jun 30, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-30,0.14,0.14,0.162857,"Jun 30, 2022<br><b>Omicron BA.4</b> 14%"
"Omicron BA.4 and BA.5",2022-06-30,NA,NA,NA,"Jun 30, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-30,0.63,0.63,0.524286,"Jun 30, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 63%"
"Omicron BQ.1",2022-06-30,NA,NA,NA,"Jun 30, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-30,NA,NA,NA,"Jun 30, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-07-01,NA,NA,NA,"Jul 01, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-07-01,NA,NA,NA,"Jul 01, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-07-01,0,0,0.005714,"Jul 01, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-07-01,0,0,0,"Jul 01, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-07-01,0.18,0.18,0.281429,"Jul 01, 2022<br><b>Omicron BA.2.12.1</b> 18%"
"Omicron BA.2.75",2022-07-01,NA,NA,NA,"Jul 01, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-07-01,0.27,0.27,0.18,"Jul 01, 2022<br><b>Omicron BA.4</b> 27%"
"Omicron BA.4 and BA.5",2022-07-01,NA,NA,NA,"Jul 01, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-07-01,0.6,0.6,0.537143,"Jul 01, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 60%"
"Omicron BQ.1",2022-07-01,NA,NA,NA,"Jul 01, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-07-01,NA,NA,NA,"Jul 01, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-07-02,NA,NA,NA,"Jul 02, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-07-02,NA,NA,NA,"Jul 02, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-07-02,0,0,0.004286,"Jul 02, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-07-02,0,0,0,"Jul 02, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-07-02,0.15,0.15,0.228571,"Jul 02, 2022<br><b>Omicron BA.2.12.1</b> 15%"
"Omicron BA.2.75",2022-07-02,NA,NA,NA,"Jul 02, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-07-02,0.19,0.19,0.19,"Jul 02, 2022<br><b>Omicron BA.4</b> 19%"
"Omicron BA.4 and BA.5",2022-07-02,NA,NA,NA,"Jul 02, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-07-02,0.6,0.6,0.577143,"Jul 02, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 60%"
"Omicron BQ.1",2022-07-02,NA,NA,NA,"Jul 02, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-07-02,NA,NA,NA,"Jul 02, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-07-03,NA,NA,NA,"Jul 03, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-07-03,NA,NA,NA,"Jul 03, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-07-03,0.01,0.01,0.005714,"Jul 03, 2022<br><b>Omicron BA.1</b> 1%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-07-03,0,0,0,"Jul 03, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-07-03,0.18,0.18,0.212857,"Jul 03, 2022<br><b>Omicron BA.2.12.1</b> 18%"
"Omicron BA.2.75",2022-07-03,NA,NA,NA,"Jul 03, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-07-03,0.13,0.13,0.187143,"Jul 03, 2022<br><b>Omicron BA.4</b> 13%"
"Omicron BA.4 and BA.5",2022-07-03,NA,NA,NA,"Jul 03, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-07-03,0.7,0.7,0.598571,"Jul 03, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 70%"
"Omicron BQ.1",2022-07-03,NA,NA,NA,"Jul 03, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-07-03,NA,NA,NA,"Jul 03, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-07-04,NA,NA,NA,"Jul 04, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-07-04,NA,NA,NA,"Jul 04, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-07-04,0,0,0.004286,"Jul 04, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-07-04,0,0,0,"Jul 04, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-07-04,0.18,0.18,0.195714,"Jul 04, 2022<br><b>Omicron BA.2.12.1</b> 18%"
"Omicron BA.2.75",2022-07-04,NA,NA,NA,"Jul 04, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-07-04,0.12,0.12,0.18,"Jul 04, 2022<br><b>Omicron BA.4</b> 12%"
"Omicron BA.4 and BA.5",2022-07-04,NA,NA,NA,"Jul 04, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-07-04,0.65,0.65,0.618571,"Jul 04, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 65%"
"Omicron BQ.1",2022-07-04,NA,NA,NA,"Jul 04, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-07-04,NA,NA,NA,"Jul 04, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-07-05,NA,NA,NA,"Jul 05, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-07-05,NA,NA,NA,"Jul 05, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-07-05,0,0,0.002857,"Jul 05, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-07-05,0,0,0,"Jul 05, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-07-05,0.16,0.16,0.178571,"Jul 05, 2022<br><b>Omicron BA.2.12.1</b> 16%"
"Omicron BA.2.75",2022-07-05,NA,NA,NA,"Jul 05, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-07-05,0.15,0.15,0.172857,"Jul 05, 2022<br><b>Omicron BA.4</b> 15%"
"Omicron BA.4 and BA.5",2022-07-05,NA,NA,NA,"Jul 05, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-07-05,0.69,0.69,0.638571,"Jul 05, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 69%"
"Omicron BQ.1",2022-07-05,NA,NA,NA,"Jul 05, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-07-05,NA,NA,NA,"Jul 05, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-07-06,NA,NA,NA,"Jul 06, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-07-06,NA,NA,NA,"Jul 06, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-07-06,0,0,0.002857,"Jul 06, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-07-06,0,0,0,"Jul 06, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-07-06,0.17,0.17,0.174286,"Jul 06, 2022<br><b>Omicron BA.2.12.1</b> 17%"
"Omicron BA.2.75",2022-07-06,NA,NA,NA,"Jul 06, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-07-06,0.14,0.14,0.162857,"Jul 06, 2022<br><b>Omicron BA.4</b> 14%"
"Omicron BA.4 and BA.5",2022-07-06,NA,NA,NA,"Jul 06, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-07-06,0.65,0.65,0.645714,"Jul 06, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 65%"
"Omicron BQ.1",2022-07-06,NA,NA,NA,"Jul 06, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-07-06,NA,NA,NA,"Jul 06, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-07-07,NA,NA,NA,"Jul 07, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-07-07,NA,NA,NA,"Jul 07, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-07-07,0,0,0.001429,"Jul 07, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-07-07,0,0,0,"Jul 07, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-07-07,0.26,0.26,0.182857,"Jul 07, 2022<br><b>Omicron BA.2.12.1</b> 26%"
"Omicron BA.2.75",2022-07-07,NA,NA,NA,"Jul 07, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-07-07,0.19,0.19,0.17,"Jul 07, 2022<br><b>Omicron BA.4</b> 19%"
"Omicron BA.4 and BA.5",2022-07-07,NA,NA,NA,"Jul 07, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-07-07,0.52,0.52,0.63,"Jul 07, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 52%"
"Omicron BQ.1",2022-07-07,NA,NA,NA,"Jul 07, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-07-07,NA,NA,NA,"Jul 07, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-07-08,NA,NA,NA,"Jul 08, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-07-08,NA,NA,NA,"Jul 08, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-07-08,0,0,0.001429,"Jul 08, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-07-08,0,0,0,"Jul 08, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-07-08,0.31,0.31,0.201429,"Jul 08, 2022<br><b>Omicron BA.2.12.1</b> 31%"
"Omicron BA.2.75",2022-07-08,NA,NA,NA,"Jul 08, 2022<br><b>Omicron BA.2.75</b> NaN%"
